Date,Close
2020-01-02,1367.37
2020-01-03,1360.66
2020-01-06,1394.21
2020-01-07,1393.34
2020-01-08,1404.32
2020-01-09,1419.83
2020-01-10,1429.73
2020-01-13,1439.23
2020-01-14,1430.88
2020-01-15,1439.2
2020-01-16,1451.7
2020-01-17,1480.39
2020-01-21,1484.4
2020-01-22,1485.95
2020-01-23,1486.65
2020-01-24,1466.71
2020-01-27,1433.9
2020-01-28,1452.56
2020-01-29,1458.63
2020-01-30,1455.84
2020-01-31,1434.23
2020-02-03,1485.94
2020-02-04,1447.07
2020-02-05,1448.23
2020-02-06,1476.23
2020-02-07,1479.23
2020-02-10,1508.68
2020-02-11,1508.79
2020-02-12,1518.27
2020-02-13,1514.66
2020-02-14,1520.74
2020-02-18,1519.67
2020-02-19,1526.69
2020-02-20,1518.15
2020-02-21,1485.11
2020-02-24,1421.59
2020-02-25,1388.45
2020-02-26,1393.18
2020-02-27,1318.09
2020-02-28,1339.33
2020-03-02,1389.11
2020-03-03,1341.39
2020-03-04,1386.52
2020-03-05,1319.04
2020-03-06,1298.41
2020-03-09,1215.56
2020-03-10,1280.39
2020-03-11,1215.41
2020-03-12,1114.91
2020-03-13,1219.73
2020-03-16,1084.33
2020-03-17,1119.8
2020-03-18,1096.8
2020-03-19,1115.29
2020-03-20,1072.32
2020-03-23,1056.62
2020-03-24,1134.46
2020-03-25,1102.49
2020-03-26,1161.75
2020-03-27,1110.71
2020-03-30,1146.82
2020-03-31,1162.81
2020-04-01,1105.62
2020-04-02,1120.84
2020-04-03,1097.88
2020-04-06,1186.92
2020-04-07,1186.51
2020-04-08,1210.28
2020-04-09,1211.45
2020-04-13,1217.56
2020-04-14,1269.23
2020-04-15,1262.47
2020-04-16,1263.47
2020-04-17,1283.25
2020-04-20,1266.61
2020-04-21,1216.34
2020-04-22,1263.21
2020-04-23,1276.31
2020-04-24,1279.31
2020-04-27,1275.88
2020-04-28,1233.67
2020-04-29,1341.48
2020-04-30,1348.66
2020-05-01,1320.61
2020-05-04,1326.8
2020-05-05,1351.11
2020-05-06,1347.3
2020-05-07,1372.56
2020-05-08,1388.37
2020-05-11,1403.26
2020-05-12,1375.74
2020-05-13,1349.33
2020-05-14,1356.13
2020-05-15,1373.19
2020-05-18,1383.94
2020-05-19,1373.49
2020-05-20,1406.72
2020-05-21,1402.8
2020-05-22,1410.42
2020-05-26,1417.02
2020-05-27,1417.84
2020-05-28,1416.73
2020-05-29,1428.92
2020-06-01,1431.82
2020-06-02,1439.22
2020-06-03,1436.38
2020-06-04,1412.18
2020-06-05,1438.39
2020-06-08,1446.61
2020-06-09,1456.16
2020-06-10,1465.85
2020-06-11,1403.84
2020-06-12,1413.18
2020-06-15,1419.85
2020-06-16,1442.72
2020-06-17,1451.12
2020-06-18,1435.96
2020-06-19,1431.72
2020-06-22,1451.86
2020-06-23,1464.41
2020-06-24,1431.97
2020-06-25,1441.33
2020-06-26,1359.9
2020-06-29,1394.97
2020-06-30,1413.61
2020-07-01,1438.04
2020-07-02,1464.7
2020-07-06,1495.7
2020-07-07,1485.18
2020-07-08,1496
2020-07-09,1510.99
2020-07-10,1541.74
2020-07-13,1511.34
2020-07-14,1520.58
2020-07-15,1513.64
2020-07-16,1518
2020-07-17,1515.55
2020-07-20,1565.72
2020-07-21,1558.42
2020-07-22,1568.49
2020-07-23,1515.68
2020-07-24,1511.87
2020-07-27,1530.2
2020-07-28,1500.34
2020-07-29,1522.02
2020-07-30,1531.45
2020-07-31,1482.96
2020-08-03,1474.45
2020-08-04,1464.97
2020-08-05,1473.61
2020-08-06,1500.1
2020-08-07,1494.49
2020-08-10,1496.1
2020-08-11,1480.32
2020-08-12,1506.62
2020-08-13,1518.45
2020-08-14,1507.73
2020-08-17,1517.98
2020-08-18,1558.6
2020-08-19,1547.53
2020-08-20,1581.75
2020-08-21,1580.42
2020-08-24,1588.2
2020-08-25,1608.22
2020-08-26,1652.38
2020-08-27,1634.33
2020-08-28,1644.41
2020-08-31,1634.18
2020-09-01,1660.71
2020-09-02,1728.28
2020-09-03,1641.84
2020-09-04,1591.04
2020-09-08,1532.39
2020-09-09,1556.96
2020-09-10,1532.02
2020-09-11,1520.72
2020-09-14,1519.28
2020-09-15,1541.44
